region;zab_ve_18_59;zab_ve_18_59_R;zab_cil_18_59_R;zab_cih_18_59_R;zab_ve_60;zab_ve_60_R;zab_cil_60_R;zab_cih_60_R;zab_ve_total;zab_ve_total_R;zab_cil_total_R;zab_cih_total_R;st_ve_18_59;st_ve_18_59_R;st_cil_18_59_R;st_cih_18_59_R;st_ve_60;st_ve_60_R;st_cil_60_R;st_cih_60_R;st_ve_total;st_ve_total_R;st_cil_total_R;st_cih_total_R;tyazh_ve_18_59;tyazh_ve_18_59_R;tyazh_cil_18_59_R;tyazh_cih_18_59_R;tyazh_ve_60;tyazh_ve_60_R;tyazh_cil_60_R;tyazh_cih_60_R;tyazh_ve_total;tyazh_ve_total_R;tyazh_cil_total_R;tyazh_cih_total_R;sm_ve_18_59;sm_ve_18_59_R;sm_cil_18_59_R;sm_cih_18_59_R;sm_ve_60;sm_ve_60_R;sm_cil_60_R;sm_cih_60_R;sm_ve_total;sm_ve_total_R;sm_cil_total_R;sm_cih_total_R
Республика Марий Эл;1.000000;NULL;NULL;NULL;-1.722809;NULL;NULL;NULL;-0.826630;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Республика Мордовия;-1.007558;-1.00756;NULL;NULL;0.327326;0.32733;-0.38877;0.73558;-0.315628;-0.31563;-1.09782;0.23586;-0.560420;NULL;NULL;NULL;0.238570;NULL;NULL;NULL;-0.177017;NULL;NULL;NULL;-4.721541;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-1.496704;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Саха (Якутия);0.428078;0.42808;-0.10776;0.75451;-0.011840;-0.01184;-1.05755;0.59871;0.275801;0.27580;-0.19386;0.60204;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Северная Осетия - Алания;-0.862302;NULL;NULL;NULL;0.011995;NULL;NULL;NULL;-0.546866;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Татарстан;0.138343;0.13834;-0.85456;0.69130;-0.154065;-0.15407;-1.48824;0.58695;-0.003488;-0.00349;-0.76214;0.49763;1.000000;NULL;NULL;NULL;-1.086550;NULL;NULL;NULL;-0.643916;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Республика Тыва;0.176548;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;0.410483;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Республика Хакасия;-0.658947;NULL;NULL;NULL;-0.254412;NULL;NULL;NULL;-0.518919;NULL;NULL;NULL;-4.077384;NULL;NULL;NULL;-2.666742;NULL;NULL;NULL;-3.444244;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Ростовская область;-0.094085;-0.09408;-0.68422;0.33793;0.036384;0.03638;-0.52136;0.43632;-0.077908;-0.07791;-0.48485;0.24621;-0.666690;NULL;NULL;NULL;0.043333;0.04333;-1.07124;0.65839;-0.341611;-0.34161;-1.51129;0.38910;-8.511244;NULL;NULL;NULL;0.339646;NULL;NULL;NULL;-1.201991;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;-0.963684;NULL;NULL;NULL;-1.411705;NULL;NULL;NULL
Рязанская область;-0.493858;-0.49386;NULL;NULL;0.043837;NULL;NULL;NULL;-0.286783;-0.28678;-1.49396;0.44789;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Самарская область;-0.397624;-0.39762;-1.45691;0.30082;0.021707;0.02171;-0.59051;0.45056;-0.265866;-0.26587;-0.84580;0.17676;-0.223886;NULL;NULL;NULL;0.535368;NULL;NULL;NULL;0.153810;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
Саратовская область;0.145346;0.14535;-0.65893;0.63363;-0.059547;-0.05955;-0.82590;0.45218;-0.040150;-0.04015;-0.60243;0.37093;-0.958018;NULL;NULL;NULL;-0.288442;NULL;NULL;NULL;-0.754810;-0.75481;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL;1.000000;NULL;NULL;NULL
