data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_13-10-2022;г. Санкт-Петербург;60+;21_165_days;SputnikLite;0.71488;0.69602;0.73257;0.84501;0.82448;0.86314;0.91239;0.88555;0.93293;0.93482;0.90705;0.95429
2021.12_13-10-2022;г. Санкт-Петербург;60+;21_165_days;SputnikV;0.54294;0.52274;0.5623;0.77546;0.75521;0.79403;0.85727;0.83017;0.88004;0.88612;0.85776;0.90883
2022.01_13-10-2022;Московская область;18+;21_165_days;AllVaccines;-0.64495;-0.66045;-0.6296;0.40858;0.38308;0.43303;0.37316;0.32489;0.41797;0.74066;0.69917;0.77643
2022.01_13-10-2022;Московская область;18+;21_165_days;CoviVac;-2.28808;-2.43311;-2.14919;-0.43059;-0.77148;-0.15531;-0.57159;-1.26638;-0.0898;0.2462;-0.58448;0.64139
2022.01_13-10-2022;Московская область;18+;21_165_days;EpiVacCorona;-1.09848;-1.2064;-0.99583;-0.70771;-1.04968;-0.42279;-1.02088;-1.73198;-0.49487;-0.30742;-1.21406;0.22796
2022.01_13-10-2022;Московская область;18+;21_165_days;SputnikLite;0.36966;0.35534;0.38367;0.68725;0.65348;0.71773;0.68449;0.62104;0.73731;0.79624;0.71975;0.85186
2022.01_13-10-2022;Московская область;18+;21_165_days;SputnikV;-0.94963;-0.96869;-0.93075;0.34979;0.31929;0.37892;0.31034;0.25259;0.36364;0.74972;0.70242;0.78951
2022.01_13-10-2022;Московская область;18-59;21_165_days;AllVaccines;-0.85282;-0.87261;-0.83323;0.08836;0.02997;0.14324;-0.34261;-0.51894;-0.18674;0.24939;-0.0376;0.457
2022.01_13-10-2022;Московская область;18-59;21_165_days;CoviVac;-2.45426;-2.62533;-2.29125;-0.93965;-1.6403;-0.42493;-1.34736;-3.38722;-0.25594;-0.1325;-7.10855;0.84183
2022.01_13-10-2022;Московская область;18-59;21_165_days;EpiVacCorona;-1.49228;-1.64621;-1.34731;-0.90646;-1.64867;-0.37223;-1.36488;-3.56935;-0.22395;-1.53544;-9.26127;0.37352
2022.01_13-10-2022;Московская область;18-59;21_165_days;SputnikLite;0.29809;0.27797;0.31765;0.63843;0.5646;0.69974;0.44323;0.21997;0.60259;0.32845;-0.32372;0.65931
2022.01_13-10-2022;Московская область;18-59;21_165_days;SputnikV;-1.09031;-1.11327;-1.06761;-0.01151;-0.07921;0.05195;-0.49802;-0.70223;-0.31831;0.26145;-0.05203;0.48151
2022.01_13-10-2022;Московская область;60+;21_165_days;AllVaccines;-0.06862;-0.09076;-0.04693;0.57815;0.55244;0.60238;0.58069;0.53762;0.61974;0.79142;0.75255;0.82418
2022.01_13-10-2022;Московская область;60+;21_165_days;CoviVac;-1.74998;-2.02695;-1.49835;-0.23823;-0.66597;0.07969;-0.45346;-1.28375;0.07497;0.22005;-0.73979;0.65034
2022.01_13-10-2022;Московская область;60+;21_165_days;EpiVacCorona;-0.55537;-0.70463;-0.41919;-0.17331;-0.46125;0.0579;-0.33877;-0.87923;0.04625;0.19707;-0.41809;0.54538
2022.01_13-10-2022;Московская область;60+;21_165_days;SputnikLite;0.45226;0.43143;0.47232;0.79763;0.77114;0.82105;0.82693;0.78466;0.8609;0.89497;0.84906;0.92691
2022.01_13-10-2022;Московская область;60+;21_165_days;SputnikV;-0.3852;-0.41684;-0.35427;0.4669;0.42957;0.50179;0.46092;0.39759;0.5176;0.75129;0.69513;0.7971
2022.01_13-10-2022;РФ;18+;21_165_days;AllVaccines;-0.25258;-0.25571;-0.24945;0.43674;0.43145;0.44197;0.66565;0.65821;0.67293;0.79688;0.78956;0.80394
2022.01_13-10-2022;РФ;18+;21_165_days;CoviVac;-1.90567;-1.93967;-1.87206;-0.14701;-0.21011;-0.0872;0.26684;0.16586;0.3556;0.69943;0.60931;0.76875
2022.01_13-10-2022;РФ;18+;21_165_days;EpiVacCorona;-0.60679;-0.62412;-0.58964;-0.32138;-0.36759;-0.27673;0.04179;-0.03558;0.11338;0.19255;0.09856;0.27673
2022.01_13-10-2022;РФ;18+;21_165_days;SputnikLite;0.12612;0.12257;0.12966;0.55459;0.54749;0.56158;0.77056;0.76085;0.77989;0.84819;0.83786;0.85786
2022.01_13-10-2022;РФ;18+;21_165_days;SputnikV;-0.42653;-0.43049;-0.42259;0.40812;0.40155;0.41461;0.63613;0.62653;0.64549;0.79195;0.78269;0.80082
2022.01_13-10-2022;РФ;18-59;21_165_days;AllVaccines;-0.32528;-0.32904;-0.32152;0.26676;0.25645;0.27693;0.43139;0.40849;0.4534;0.65134;0.61929;0.68069
2022.01_13-10-2022;РФ;18-59;21_165_days;CoviVac;-1.88809;-1.9243;-1.85234;-0.60173;-0.71598;-0.4951;-0.5727;-0.88321;-0.31339;0.37072;-0.0641;0.62786
2022.01_13-10-2022;РФ;18-59;21_165_days;EpiVacCorona;-0.66481;-0.68535;-0.64453;-0.48922;-0.57123;-0.41149;-0.22036;-0.42234;-0.04707;0.07269;-0.28295;0.32974
2022.01_13-10-2022;РФ;18-59;21_165_days;SputnikLite;0.06144;0.05702;0.06584;0.43656;0.42275;0.45004;0.66158;0.63372;0.68732;0.74928;0.70324;0.78818
2022.01_13-10-2022;РФ;18-59;21_165_days;SputnikV;-0.47487;-0.47946;-0.47029;0.22564;0.21318;0.23789;0.35935;0.33026;0.38718;0.6283;0.58812;0.66455
2022.01_13-10-2022;РФ;60+;21_165_days;AllVaccines;-0.0006;-0.00596;0.00473;0.51205;0.5058;0.51822;0.70823;0.70027;0.71597;0.79957;0.79164;0.80721
2022.01_13-10-2022;РФ;60+;21_165_days;CoviVac;-1.51729;-1.60126;-1.43602;-0.28313;-0.39748;-0.17814;0.19717;0.03353;0.33311;0.54681;0.38659;0.66518
2022.01_13-10-2022;РФ;60+;21_165_days;EpiVacCorona;-0.4412;-0.47358;-0.40954;-0.22458;-0.28069;-0.17093;0.10843;0.02436;0.18525;0.20592;0.10732;0.29364
2022.01_13-10-2022;РФ;60+;21_165_days;SputnikLite;0.25426;0.24824;0.26024;0.65286;0.64553;0.66005;0.81911;0.81006;0.82772;0.87548;0.86624;0.88408
2022.01_13-10-2022;РФ;60+;21_165_days;SputnikV;-0.16855;-0.17586;-0.16128;0.4417;0.43299;0.45029;0.65236;0.6408;0.66356;0.76868;0.75723;0.77959
2022.01_13-10-2022;г. Санкт-Петербург;18+;21_165_days;AllVaccines;0.2639;0.25751;0.27023;0.7117;0.69978;0.72314;0.84025;0.82263;0.85611;0.89206;0.87465;0.90705
2022.01_13-10-2022;г. Санкт-Петербург;18+;21_165_days;CoviVac;-1.02539;-1.10237;-0.95123;0.39266;0.23667;0.51677;0.89948;0.68815;0.9676;0.95173;0.65715;0.9932
2022.01_13-10-2022;г. Санкт-Петербург;18+;21_165_days;EpiVacCorona;-0.07202;-0.14425;-0.00435;-0.26632;-0.55134;-0.03366;0.12008;-0.43837;0.46171;0.52462;-0.05949;0.7867
2022.01_13-10-2022;г. Санкт-Петербург;18+;21_165_days;SputnikLite;0.43602;0.42873;0.44322;0.76992;0.75465;0.78423;0.87427;0.85064;0.89416;0.92009;0.89667;0.9382
2022.01_13-10-2022;г. Санкт-Петербург;18+;21_165_days;SputnikV;0.16224;0.15379;0.17061;0.68609;0.67;0.70139;0.82195;0.79724;0.84366;0.87382;0.84846;0.89493
2022.01_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;AllVaccines;0.33307;0.32659;0.33949;0.69261;0.67443;0.70978;0.77891;0.7289;0.81969;0.83982;0.76257;0.89194
2022.01_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;CoviVac;-0.71249;-0.77967;-0.64785;0.16561;-0.07196;0.35052;0.6072;-0.22214;0.87375;0.62711;-1.66235;0.94777
2022.01_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;EpiVacCorona;0.05078;-0.02479;0.12078;-0.0856;-0.50687;0.21789;0.41324;-1.35281;0.85367;NULL;NULL;NULL
2022.01_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;SputnikLite;0.49105;0.48361;0.49837;0.74932;0.72571;0.77089;0.81951;0.74991;0.86975;0.8682;0.75063;0.93034
2022.01_13-10-2022;г. Санкт-Петербург;18-59;21_165_days;SputnikV;0.24576;0.23727;0.25416;0.67329;0.64935;0.69559;0.75736;0.68828;0.81113;0.82231;0.7112;0.89067
2022.01_13-10-2022;г. Санкт-Петербург;60+;21_165_days;AllVaccines;0.10987;0.09261;0.12681;0.6669;0.64722;0.68548;0.80768;0.78261;0.82986;0.86153;0.83717;0.88224
2022.01_13-10-2022;г. Санкт-Петербург;60+;21_165_days;CoviVac;-2.07912;-2.60029;-1.6334;-0.02073;-0.7983;0.42063;NULL;NULL;NULL;NULL;NULL;NULL
2022.01_13-10-2022;г. Санкт-Петербург;60+;21_165_days;EpiVacCorona;-0.48653;-0.68323;-0.31281;-0.49929;-0.94161;-0.15774;-0.03173;-0.7449;0.38996;0.42495;-0.28177;0.74201
2022.01_13-10-2022;г. Санкт-Петербург;60+;21_165_days;SputnikLite;0.29085;0.27089;0.31026;0.75101;0.72703;0.77289;0.8592;0.82746;0.8851;0.90561;0.87496;0.92874
2022.01_13-10-2022;г. Санкт-Петербург;60+;21_165_days;SputnikV;-0.02522;-0.04879;-0.00219;0.61755;0.58944;0.64373;0.77641;0.73954;0.80806;0.8301;0.79292;0.86061
2022.02_01-07-2022;Московская область;18+;21_165_days;AllVaccines;0.33298;0.32632;0.33957;0.62545;0.60617;0.64378;0.62275;0.58792;0.65464;0.79739;0.75999;0.82896
2022.02_01-07-2022;Московская область;18+;21_165_days;CoviVac;-0.24727;-0.31939;-0.17909;0.12977;-0.14303;0.33746;0.11358;-0.42813;0.44982;0.54748;-0.20767;0.83044
2022.02_01-07-2022;Московская область;18+;21_165_days;EpiVacCorona;-0.01316;-0.07374;0.04401;-0.52427;-0.84789;-0.25732;-0.35691;-0.94476;0.05325;-0.27573;-1.20363;0.26145
2022.02_01-07-2022;Московская область;18+;21_165_days;SputnikLite;0.3383;0.32645;0.34995;0.59085;0.55231;0.62607;0.55989;0.48685;0.62254;0.70915;0.617;0.77912
