data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_11-11-2022;Московская область;18-59;21_45_days;SputnikV;0.5031;0.45773;0.54467;0.5278;0.37072;0.64568;0.58573;0.20174;0.78501;0.47019;-0.65219;0.8301
2021.11_11-11-2022;Московская область;60+;21_45_days;AllVaccines;0.62407;0.5838;0.66045;0.79103;0.73884;0.83279;0.75933;0.64309;0.83772;0.90649;0.80355;0.95549
2021.11_11-11-2022;Московская область;60+;21_45_days;CoviVac;0.12667;-0.62335;0.53016;0.29608;-1.183;0.77302;0.15687;-4.98752;0.88128;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;60+;21_45_days;EpiVacCorona;0.22689;-0.54611;0.61342;0.22107;-1.41562;0.74883;0.06703;-5.62554;0.86862;-0.29469;-8.19637;0.81773
2021.11_11-11-2022;Московская область;60+;21_45_days;SputnikLite;0.68788;0.64163;0.72816;0.87194;0.81779;0.91;0.86641;0.74293;0.93058;0.9382;0.80821;0.98009
2021.11_11-11-2022;Московская область;60+;21_45_days;SputnikV;0.52822;0.44776;0.59695;0.66686;0.54723;0.75489;0.59125;0.30876;0.75829;0.87845;0.62275;0.96084
2021.11_11-11-2022;Московская область;18+;45_75_days;AllVaccines;0.37117;0.34432;0.39692;0.55036;0.49509;0.59958;0.41825;0.28744;0.52505;0.6624;0.52126;0.76192
2021.11_11-11-2022;Московская область;18+;45_75_days;CoviVac;-0.05349;-0.35696;0.1821;0.31861;-0.42956;0.67522;-0.53231;-3.08505;0.42522;-1.66771;-6.11496;-0.00024
2021.11_11-11-2022;Московская область;18+;45_75_days;EpiVacCorona;0.01091;-0.2884;0.2407;-0.49548;-1.48132;0.09868;-0.56942;-3.18396;0.41131;-1.04922;-5.35923;0.33965
2021.11_11-11-2022;Московская область;18+;45_75_days;SputnikLite;0.63379;0.58588;0.67616;0.78503;0.68642;0.85263;0.74934;0.49837;0.87475;0.8909;0.56347;0.97273
2021.11_11-11-2022;Московская область;18+;45_75_days;SputnikV;0.3215;0.28984;0.35174;0.51739;0.45211;0.57489;0.37473;0.21955;0.49905;0.68703;0.52791;0.79252
2021.11_11-11-2022;Московская область;18-59;45_75_days;AllVaccines;0.35132;0.319;0.38209;0.42593;0.32291;0.51329;0.23121;-0.04623;0.43509;0.22688;-0.41178;0.57662
2021.11_11-11-2022;Московская область;18-59;45_75_days;CoviVac;0.07738;-0.26292;0.32598;0.75772;-0.72024;0.96588;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;45_75_days;EpiVacCorona;0.05352;-0.33854;0.33074;0.09127;-1.81851;0.70701;-0.40048;-8.95092;0.8029;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;45_75_days;SputnikLite;0.61501;0.54417;0.67484;0.94159;0.76638;0.9854;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;45_75_days;SputnikV;0.31853;0.2823;0.35293;0.34097;0.22002;0.44316;0.10125;-0.2275;0.34196;0.07414;-0.69069;0.49298
2021.11_11-11-2022;Московская область;60+;45_75_days;AllVaccines;0.41589;0.36597;0.46189;0.60674;0.53709;0.66591;0.47871;0.31726;0.60198;0.71984;0.56916;0.81782
2021.11_11-11-2022;Московская область;60+;45_75_days;CoviVac;-0.46648;-1.24963;0.04403;-0.12455;-1.50382;0.49493;-1.70525;-6.21397;-0.01447;-2.73866;-8.97295;-0.40155
2021.11_11-11-2022;Московская область;60+;45_75_days;EpiVacCorona;-0.02019;-0.53553;0.3222;-0.42857;-1.5165;0.18903;-0.28873;-2.99866;0.58465;-0.78103;-4.5278;0.42616
2021.11_11-11-2022;Московская область;60+;45_75_days;SputnikLite;0.67191;0.60744;0.72579;0.81655;0.72834;0.87611;0.78817;0.57591;0.89419;0.92681;0.70713;0.98171
2021.11_11-11-2022;Московская область;60+;45_75_days;SputnikV;0.2974;0.22637;0.36191;0.53527;0.43613;0.61699;0.37115;0.13704;0.54175;0.73259;0.52818;0.84844
2021.11_11-11-2022;Московская область;18+;75_90_days;AllVaccines;0.33075;0.30282;0.35755;0.54072;0.48447;0.59084;0.50428;0.38209;0.6023;0.75499;0.63042;0.83757
2021.11_11-11-2022;Московская область;18+;75_90_days;CoviVac;-0.40756;-0.71948;-0.15222;0.02584;-0.71578;0.4469;-0.9082;-3.25039;0.14332;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18+;75_90_days;EpiVacCorona;0.03182;-0.28871;0.27263;0.20162;-0.67501;0.61945;0.55317;-2.17295;0.93708;-0.55551;-5.22399;0.61124
2021.11_11-11-2022;Московская область;18+;75_90_days;SputnikLite;0.58623;0.49453;0.66129;0.76136;0.55638;0.87163;0.62604;0.00305;0.85973;0.83727;-0.1558;0.97709
2021.11_11-11-2022;Московская область;18+;75_90_days;SputnikV;0.3325;0.30314;0.36062;0.54084;0.48148;0.59341;0.52484;0.39799;0.62497;0.76369;0.63291;0.84788
2021.11_11-11-2022;Московская область;18-59;75_90_days;AllVaccines;0.33313;0.30159;0.36324;0.46687;0.37153;0.54774;0.46471;0.23931;0.62333;0.61778;0.14224;0.82968
2021.11_11-11-2022;Московская область;18-59;75_90_days;CoviVac;-0.50767;-0.87736;-0.21079;0.03823;-1.31169;0.59985;0.11883;-5.26097;0.87599;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;75_90_days;EpiVacCorona;0.08827;-0.31211;0.36649;0.03734;-1.98578;0.68962;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;75_90_days;SputnikLite;0.58687;0.46895;0.67861;0.79262;0.3568;0.93314;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;75_90_days;SputnikV;0.33895;0.30618;0.37018;0.4623;0.36209;0.54677;0.43439;0.19181;0.60416;0.5831;0.06441;0.81423
2021.11_11-11-2022;Московская область;60+;75_90_days;AllVaccines;0.27958;0.21336;0.34023;0.43466;0.33489;0.51947;0.32613;0.10576;0.49219;0.67697;0.47913;0.79967
2021.11_11-11-2022;Московская область;60+;75_90_days;CoviVac;-0.11158;-0.81476;0.31913;-0.30993;-1.74856;0.37571;-2.36862;-7.10085;-0.40079;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;60+;75_90_days;EpiVacCorona;-0.05775;-0.67917;0.33369;0.36686;-0.6873;0.76242;0.43014;-3.04696;0.91976;-0.57475;-5.30148;0.60647
2021.11_11-11-2022;Московская область;60+;75_90_days;SputnikLite;0.59441;0.43496;0.70886;0.7815;0.54154;0.89587;0.55049;-0.19869;0.83143;0.84473;-0.10292;0.97814
2021.11_11-11-2022;Московская область;60+;75_90_days;SputnikV;0.25269;0.17867;0.32004;0.40392;0.29118;0.49873;0.35619;0.11651;0.53084;0.68067;0.45965;0.81129
2021.11_11-11-2022;Московская область;18+;90_105_days;AllVaccines;0.3708;0.35136;0.38966;0.60242;0.56558;0.63613;0.60842;0.53284;0.67177;0.78268;0.70391;0.84049
2021.11_11-11-2022;Московская область;18+;90_105_days;CoviVac;0.03821;-0.28417;0.27966;-0.0299;-0.97982;0.46425;0.1054;-2.57845;0.77635;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18+;90_105_days;EpiVacCorona;-0.19965;-0.82204;0.21014;-0.79067;-2.98654;0.19567;-0.16657;-7.28395;0.83572;-1.02122;-13.35572;0.71542
2021.11_11-11-2022;Московская область;18+;90_105_days;SputnikLite;0.4242;0.26284;0.55024;0.39973;-0.05725;0.65919;0.60894;-0.56426;0.90224;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18+;90_105_days;SputnikV;0.37381;0.35418;0.39285;0.61385;0.57707;0.64743;0.61402;0.53795;0.67757;0.78252;0.70258;0.84098
2021.11_11-11-2022;Московская область;18-59;90_105_days;AllVaccines;0.3723;0.351;0.39291;0.41009;0.34155;0.4715;0.27406;0.09971;0.41464;0.45347;0.11978;0.66066
2021.11_11-11-2022;Московская область;18-59;90_105_days;CoviVac;0.06502;-0.29635;0.32565;-0.595;-2.55202;0.28378;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;90_105_days;EpiVacCorona;-0.41626;-1.24807;0.10777;-2.22137;-7.58648;-0.20855;-2.744;-25.60366;0.4731;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;90_105_days;SputnikLite;0.41535;0.21686;0.56354;0.20211;-0.77688;0.64172;0.38177;-3.39291;0.913;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;18-59;90_105_days;SputnikV;0.37552;0.35405;0.39627;0.42537;0.35699;0.48647;0.27442;0.09815;0.41624;0.44133;0.10023;0.65312
2021.11_11-11-2022;Московская область;60+;90_105_days;AllVaccines;0.28308;0.22694;0.33514;0.53734;0.461;0.60287;0.62591;0.48456;0.7285;0.68455;0.52397;0.79096
2021.11_11-11-2022;Московская область;60+;90_105_days;CoviVac;-0.14885;-1.1355;0.38194;0.07723;-1.8617;0.70245;-1.19911;-7.79822;0.45033;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;60+;90_105_days;EpiVacCorona;0.28907;-0.89434;0.7332;0.0483;-2.80596;0.76202;NULL;NULL;NULL;-1.36989;-15.83379;0.66636
2021.11_11-11-2022;Московская область;60+;90_105_days;SputnikLite;0.44266;0.11524;0.64892;0.5026;-0.10747;0.7766;0.70366;-1.10451;0.95827;NULL;NULL;NULL
2021.11_11-11-2022;Московская область;60+;90_105_days;SputnikV;0.28153;0.22393;0.33486;0.54586;0.46818;0.61219;0.63809;0.49469;0.74079;0.68306;0.51735;0.79188
2021.11_11-11-2022;РФ;18+;105_165_days;AllVaccines;0.23514;0.23119;0.23907;0.50244;0.49617;0.50862;0.61866;0.60763;0.62938;0.74134;0.73019;0.75203
2021.11_11-11-2022;РФ;18+;105_165_days;CoviVac;-0.28388;-0.32037;-0.2484;0.09704;0.03481;0.15526;0.27839;0.16158;0.37893;0.65503;0.54952;0.73583
2021.11_11-11-2022;РФ;18+;105_165_days;EpiVacCorona;-0.24048;-0.26087;-0.22043;-0.51185;-0.5571;-0.4679;-0.52289;-0.61571;-0.43541;-0.21076;-0.31361;-0.11597
