data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_26-12-2022;Московская область;60+;21_45_days;SputnikLite;0.58271;0.52661;0.63215;0.76616;0.69113;0.82297;0.77751;0.60736;0.87392;0.86819;0.70606;0.94089
2021.12_26-12-2022;Московская область;60+;21_45_days;SputnikV;0.60388;0.55946;0.64383;0.7367;0.67345;0.7877;0.61477;0.45031;0.73003;0.76441;0.6143;0.8561
2021.12_26-12-2022;Московская область;18+;45_75_days;AllVaccines;0.48205;0.45359;0.50903;0.53343;0.46692;0.59165;0.40869;0.24049;0.53964;0.62444;0.44655;0.74515
2021.12_26-12-2022;Московская область;18+;45_75_days;CoviVac;-0.32187;-0.74921;0.00107;-0.51193;-1.81086;0.18675;-1.68871;-6.16999;-0.00825;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18+;45_75_days;EpiVacCorona;0.04231;-0.46894;0.37563;-0.27795;-2.07095;0.46819;-4.68153;-12.66322;-1.36253;-4.24627;-15.28513;-0.69009
2021.12_26-12-2022;Московская область;18+;45_75_days;SputnikLite;0.56236;0.52427;0.5974;0.63451;0.54638;0.70552;0.62803;0.41575;0.76319;0.81923;0.59697;0.91892
2021.12_26-12-2022;Московская область;18+;45_75_days;SputnikV;0.4346;0.39231;0.47395;0.47893;0.37754;0.56381;0.34081;0.07956;0.52791;0.50725;0.2052;0.69451
2021.12_26-12-2022;Московская область;18-59;45_75_days;AllVaccines;0.45509;0.4176;0.49017;0.46755;0.34072;0.56997;0.35564;-0.01621;0.59142;-0.22176;-1.48546;0.39943
2021.12_26-12-2022;Московская область;18-59;45_75_days;CoviVac;-0.40477;-0.94776;-0.01315;-0.57307;-3.1934;0.40989;-3.30837;-16.26011;-0.07543;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;45_75_days;EpiVacCorona;0.26139;-0.41966;0.61572;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;45_75_days;SputnikLite;0.55696;0.50075;0.60685;0.63753;0.44886;0.76161;0.90975;0.35844;0.9873;0.59359;-1.90295;0.9431
2021.12_26-12-2022;Московская область;18-59;45_75_days;SputnikV;0.41634;0.36607;0.46262;0.38189;0.20239;0.521;0.09713;-0.48181;0.44987;-0.77878;-2.79185;0.16557
2021.12_26-12-2022;Московская область;60+;45_75_days;AllVaccines;0.54282;0.49978;0.58217;0.65084;0.58592;0.70558;0.54816;0.39031;0.66515;0.78173;0.65247;0.86291
2021.12_26-12-2022;Московская область;60+;45_75_days;CoviVac;-0.13129;-0.9487;0.34324;-0.4415;-2.20985;0.35264;-0.90778;-6.63476;0.52328;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;60+;45_75_days;EpiVacCorona;-0.1648;-1.05145;0.33863;-0.3399;-2.2203;0.44249;-4.31995;-11.79936;-1.21119;-2.76924;-10.70187;-0.2141
2021.12_26-12-2022;Московская область;60+;45_75_days;SputnikLite;0.59749;0.5476;0.64189;0.76299;0.69501;0.81582;0.72232;0.55809;0.82552;0.90892;0.78081;0.96215
2021.12_26-12-2022;Московская область;60+;45_75_days;SputnikV;0.47178;0.38747;0.54448;0.48094;0.33472;0.59502;0.37847;0.02291;0.60464;0.61372;0.28038;0.79265
2021.12_26-12-2022;Московская область;18+;75_90_days;AllVaccines;0.35913;0.30954;0.40516;0.58517;0.4838;0.66664;0.36345;0.07601;0.56148;0.82486;0.57862;0.92721
2021.12_26-12-2022;Московская область;18+;75_90_days;CoviVac;-0.44209;-1.11819;0.0182;-0.24105;-2.30729;0.5343;-0.37727;-8.78091;0.80606;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18+;75_90_days;EpiVacCorona;0.11042;-0.50212;0.47318;-0.42176;-2.78886;0.46649;-0.57781;-10.20508;0.77783;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18+;75_90_days;SputnikLite;0.53983;0.45038;0.61472;0.78901;0.60774;0.88651;0.81268;0.25055;0.95318;0.71138;-0.15508;0.92788
2021.12_26-12-2022;Московская область;18+;75_90_days;SputnikV;0.32189;0.2618;0.37708;0.55581;0.43096;0.65326;0.24884;-0.12301;0.49757;0.85533;0.55093;0.95339
2021.12_26-12-2022;Московская область;18-59;75_90_days;AllVaccines;0.34573;0.28509;0.40123;0.45468;0.25822;0.5991;-0.09924;-0.83294;0.34077;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;75_90_days;CoviVac;-0.35025;-1.14334;0.14937;0.24515;-4.36005;0.8937;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;75_90_days;EpiVacCorona;0.37934;-0.3816;0.72118;-1.08185;-7.32696;0.47951;-4.73522;-39.7695;0.1932;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;75_90_days;SputnikLite;0.57653;0.44834;0.67494;0.84505;0.38022;0.96126;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;75_90_days;SputnikV;0.3109;0.24102;0.37435;0.39992;0.16686;0.56779;-0.28577;-1.18201;0.24235;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;60+;75_90_days;AllVaccines;0.39087;0.30095;0.46923;0.67148;0.55169;0.75926;0.57797;0.27157;0.75549;0.80641;0.53414;0.91956
2021.12_26-12-2022;Московская область;60+;75_90_days;CoviVac;-0.74842;-2.49672;0.12576;-0.81229;-4.62058;0.41565;-1.38781;-15.96165;0.66385;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;60+;75_90_days;EpiVacCorona;-0.27318;-1.54627;0.36339;0.12021;-2.51858;0.78001;NULL;NULL;NULL;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;60+;75_90_days;SputnikLite;0.53531;0.40932;0.63443;0.84663;0.6932;0.92334;0.84845;0.39352;0.96213;0.81926;0.27656;0.95484
2021.12_26-12-2022;Московская область;60+;75_90_days;SputnikV;0.32784;0.19683;0.43748;0.58882;0.39994;0.71825;0.39806;-0.12093;0.67675;0.78463;0.33138;0.93063
2021.12_26-12-2022;Московская область;18+;90_105_days;AllVaccines;0.32088;0.27881;0.36048;0.48497;0.3939;0.56236;0.37867;0.15067;0.54547;0.61624;0.37194;0.76551
2021.12_26-12-2022;Московская область;18+;90_105_days;CoviVac;-0.10163;-0.60652;0.24459;0.31548;-1.12276;0.77926;-1.02322;-7.0946;0.4943;-0.56203;-10.09629;0.78011
2021.12_26-12-2022;Московская область;18+;90_105_days;EpiVacCorona;-0.12405;-0.61766;0.21895;-0.95085;-2.75045;-0.01476;0.03899;-5.82481;0.86468;-1.9678;-10.87748;0.25844
2021.12_26-12-2022;Московская область;18+;90_105_days;SputnikLite;0.57258;0.48422;0.6458;0.69299;0.48144;0.81824;0.70833;0.095;0.906;0.84988;-0.06644;0.97887
2021.12_26-12-2022;Московская область;18+;90_105_days;SputnikV;0.28806;0.24012;0.33298;0.47579;0.37288;0.56181;0.34695;0.08377;0.53453;0.6441;0.37189;0.79834
2021.12_26-12-2022;Московская область;18-59;90_105_days;AllVaccines;0.28391;0.23313;0.33131;0.29192;0.11883;0.43101;0.10038;-0.41876;0.42956;0.58907;-0.65688;0.89809
2021.12_26-12-2022;Московская область;18-59;90_105_days;CoviVac;0.00579;-0.57818;0.37367;0.44319;-2.95385;0.92158;-2.05315;-20.70387;0.5705;NULL;NULL;NULL
2021.12_26-12-2022;Московская область;18-59;90_105_days;EpiVacCorona;-0.03302;-0.68637;0.3672;-1.60348;-5.94019;0.02336;NULL;NULL;NULL;-14.48675;-109.59543;-1.16862
