data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.11_01-07-2022;РФ;60+;165_195_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;60+;165_195_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2021.11_01-07-2022;РФ;18+;21_45_days;AllVaccines;-8.30307;-8.33661;-8.26964;-4.70322;-4.75125;-4.65559;-2.9657;-3.04293;-2.88996;-1.71368;-1.78996;-1.63948
2021.11_01-07-2022;РФ;18+;21_45_days;CoviVac;-15.60373;-15.95093;-15.26365;-10.99142;-11.59925;-10.41292;-7.85313;-8.94893;-6.87803;-3.28546;-4.27586;-2.48097
2021.11_01-07-2022;РФ;18+;21_45_days;EpiVacCorona;-58.28436;-59.03476;-57.54334;-76.77965;-78.54535;-75.05315;-74.30347;-77.87061;-70.89766;-59.81921;-63.81894;-56.06628
2021.11_01-07-2022;РФ;18+;21_45_days;SputnikLite;-0.63346;-0.64706;-0.61996;-0.03623;-0.05809;-0.01481;0.35068;0.31529;0.38423;0.558;0.52145;0.59177
2021.11_01-07-2022;РФ;18+;21_45_days;SputnikV;-18.48191;-18.55873;-18.40539;-10.41718;-10.5269;-10.3085;-6.86045;-7.03883;-6.68602;-4.38628;-4.56508;-4.21322
2021.11_01-07-2022;РФ;18-59;21_45_days;AllVaccines;-10.10417;-10.15207;-10.05647;-6.87789;-6.98017;-6.77691;-6.10521;-6.35296;-5.86581;-3.95119;-4.28339;-3.63988
2021.11_01-07-2022;РФ;18-59;21_45_days;CoviVac;-17.68906;-18.11742;-17.27031;-17.70873;-18.91463;-16.57586;-15.18262;-18.24145;-12.61004;-5.76828;-9.61755;-3.31451
2021.11_01-07-2022;РФ;18-59;21_45_days;EpiVacCorona;-59.15582;-60.13539;-58.19195;-86.49582;-89.81075;-83.30189;-91.03467;-100.07163;-82.80572;-66.51832;-80.11875;-55.19815
