data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59
2022.07_16-08-2022;Белгородская область;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;45_75_days;SputnikLite;-14.50113;-61.14082;-2.86678;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;45_75_days;SputnikV;-0.40655;-3.37501;0.5478;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;75_90_days;AllVaccines;-2.62885;-7.75435;-0.50423;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;75_90_days;SputnikLite;-9.49956;-41.09054;-1.61913;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;75_90_days;SputnikV;-2.75778;-9.04921;-0.40517;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;90_105_days;AllVaccines;-2.85624;-7.12855;-0.82942;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;90_105_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;90_105_days;EpiVacCorona;-14.50113;-61.14082;-2.86678;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;90_105_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Белгородская область;90_105_days;SputnikV;-3.5262;-9.12045;-1.02427;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;105_165_days;AllVaccines;-0.02662;-0.51896;0.30614;-3.67553;-14.95417;-0.37021
2022.07_16-08-2022;Брянская область;105_165_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;105_165_days;EpiVacCorona;-1.74019;-9.97833;0.31605;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;105_165_days;SputnikLite;-0.28596;-1.14493;0.22901;-5.4965;-26.99806;-0.50741
2022.07_16-08-2022;Брянская область;105_165_days;SputnikV;0.11402;-0.60739;0.51165;-5.13924;-25.45837;-0.42451
2022.07_16-08-2022;Брянская область;165_195_days;AllVaccines;-0.29363;-0.81738;0.07917;-3.31791;-13.73386;-0.26541
2022.07_16-08-2022;Брянская область;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;165_195_days;EpiVacCorona;-5.58486;-14.87041;-1.73215;-100.26049;-435.40346;-22.49589
2022.07_16-08-2022;Брянская область;165_195_days;SputnikLite;-0.29462;-0.91548;0.12501;-2.71234;-14.9991;0.13861
2022.07_16-08-2022;Брянская область;165_195_days;SputnikV;0.00314;-1.22659;0.5537;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;21_45_days;AllVaccines;-0.52636;-3.07836;0.42874;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;21_45_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;21_45_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;21_45_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;21_45_days;SputnikV;-1.6964;-6.20463;-0.00915;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;45_75_days;AllVaccines;-1.83261;-4.96398;-0.34536;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;45_75_days;CoviVac;-20.81553;-86.40204;-4.44515;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;45_75_days;SputnikLite;-0.7259;-5.91468;0.56921;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;45_75_days;SputnikV;-3.61107;-10.1133;-0.9132;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;75_90_days;AllVaccines;-1.28596;-6.1051;0.26453;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;75_90_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;75_90_days;SputnikV;-3.67779;-13.53924;-0.50501;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;90_105_days;AllVaccines;-1.17485;-4.81107;0.18604;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;90_105_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;90_105_days;EpiVacCorona;-24.30647;-100.38821;-5.31649;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;90_105_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Брянская область;90_105_days;SputnikV;-1.83008;-7.79629;0.08946;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;105_165_days;AllVaccines;-0.30103;-0.93834;0.12674;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;105_165_days;CoviVac;-4.39763;-20.62199;-0.34744;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;105_165_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;105_165_days;SputnikLite;-0.23253;-1.30026;0.33959;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;105_165_days;SputnikV;-0.48813;-1.4811;0.10744;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;165_195_days;AllVaccines;-0.33046;-0.96743;0.10029;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;165_195_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;165_195_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;165_195_days;SputnikLite;-0.5032;-1.37032;0.04671;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;165_195_days;SputnikV;-0.35231;-1.71415;0.32622;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;21_45_days;AllVaccines;-1.38575;-4.74864;0.00989;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;21_45_days;CoviVac;-14.76621;-62.15673;-2.93582;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;21_45_days;EpiVacCorona;-12.03834;-39.51767;-3.19566;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;21_45_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;21_45_days;SputnikV;-0.33914;-4.36435;0.6657;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;45_75_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;45_75_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;45_75_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;45_75_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;45_75_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;75_90_days;AllVaccines;-1.57268;-6.99481;0.17213;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;75_90_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;75_90_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;75_90_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;75_90_days;SputnikV;-2.41077;-9.59924;-0.09757;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;90_105_days;AllVaccines;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;90_105_days;CoviVac;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;90_105_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;90_105_days;SputnikLite;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Владимирская область;90_105_days;SputnikV;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;Волгоградская область;105_165_days;AllVaccines;-0.30035;-0.49258;-0.13287;-0.27318;-1.08059;0.22089
2022.07_16-08-2022;Волгоградская область;105_165_days;CoviVac;-1.37667;-3.75636;-0.18758;NULL;NULL;NULL
2022.07_16-08-2022;Волгоградская область;105_165_days;EpiVacCorona;-0.64012;-1.77232;0.0297;NULL;NULL;NULL
2022.07_16-08-2022;Волгоградская область;105_165_days;SputnikLite;-0.33838;-0.61846;-0.10676;-0.05356;-1.23178;0.50264
2022.07_16-08-2022;Волгоградская область;105_165_days;SputnikV;-0.18326;-0.46402;0.04366;-0.89271;-2.46055;-0.0352
2022.07_16-08-2022;Волгоградская область;165_195_days;AllVaccines;-0.28522;-0.49289;-0.10644;0.31007;-0.39422;0.65858
2022.07_16-08-2022;Волгоградская область;165_195_days;CoviVac;-2.83817;-9.23243;-0.43969;NULL;NULL;NULL
2022.07_16-08-2022;Волгоградская область;165_195_days;EpiVacCorona;-0.15867;-2.08897;0.56539;-6.26229;-28.18864;-0.8069
2022.07_16-08-2022;Волгоградская область;165_195_days;SputnikLite;-0.27738;-0.5252;-0.06983;0.26021;-0.66169;0.67065
2022.07_16-08-2022;Волгоградская область;165_195_days;SputnikV;-0.30079;-0.72467;0.01892;0.34339;-1.63904;0.83663
2022.07_16-08-2022;Волгоградская область;21_45_days;AllVaccines;-0.16314;-0.7239;0.21521;-0.74524;-4.44575;0.44069
2022.07_16-08-2022;Волгоградская область;21_45_days;CoviVac;-9.62513;-41.50138;-1.65623;NULL;NULL;NULL
2022.07_16-08-2022;Волгоградская область;21_45_days;EpiVacCorona;0.07201;-1.47401;0.65191;NULL;NULL;NULL
2022.07_16-08-2022;Волгоградская область;21_45_days;SputnikLite;-1.91718;-4.61151;-0.51652;-11.21708;-37.12157;-2.91529
2022.07_16-08-2022;Волгоградская область;21_45_days;SputnikV;0.06683;-0.60879;0.45872;NULL;NULL;NULL
2022.07_16-08-2022;Волгоградская область;45_75_days;AllVaccines;-0.46953;-1.14614;-0.00624;-0.35518;-4.44673;0.66283
