data_point;region;vac_interval_group;vaccine;ve_zab_18_59;cil_zab_18_59;cih_zab_18_59;ve_hosp_18_59;cil_hosp_18_59;cih_hosp_18_59;ve_severe_18_59;cil_severe_18_59;cih_severe_18_59;ve_death_18_59;cil_death_18_59;cih_death_18_59;ve_zab_60;cil_zab_60;cih_zab_60;ve_hosp_60;cil_hosp_60;cih_hosp_60;ve_severe_60;cil_severe_60;cih_severe_60;ve_death_60;cil_death_60;cih_death_60;ve_zab_total;cil_zab_total;cih_zab_total;ve_hosp_total;cil_hosp_total;cih_hosp_total;ve_severe_total;cil_severe_total;cih_severe_total
2022.07_16-08-2022;г. Москва;90_105_days;EpiVacCorona;-47.76488;-193.98462;-11.1959;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-31.2894;-128.11103;-7.07526;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;SputnikLite;0.58228;0.07014;0.81235;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.154;-1.62342;0.72718;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.54941;0.09896;0.77467;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Москва;90_105_days;SputnikV;-0.12941;-0.49046;0.14418;-2.23381;-11.96878;0.19364;NULL;NULL;NULL;NULL;NULL;NULL;-0.56492;-1.0839;-0.17519;-1.24548;-4.99809;0.15937;0.05292;-2.79259;0.7635;-1.84748;-10.4374;0.29109;-0.27555;-0.55834;-0.04407;-1.484;-4.97843;-0.03208;0.05459;-2.78418;0.76381
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;AllVaccines;0.18926;0.11262;0.25927;0.50442;0.25047;0.67233;0.02461;-1.21338;0.57016;NULL;NULL;NULL;-0.16945;-0.32213;-0.0344;0.15263;-0.13725;0.36862;0.1982;-0.42564;0.54906;0.48626;-0.61294;0.83637;0.09291;0.02444;0.15657;0.35142;0.17438;0.4905;0.24655;-0.22237;0.53558
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;CoviVac;-0.64766;-1.65126;-0.02396;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.54181;-1.48069;0.04173;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;EpiVacCorona;0.42772;-0.27406;0.74294;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.60836;-2.21768;0.19606;-1.58261;-7.01803;0.16814;NULL;NULL;NULL;NULL;NULL;NULL;0.15841;-0.44967;0.51142;-0.56546;-3.8574;0.49548;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;SputnikLite;0.15568;0.02376;0.26977;0.45974;-0.04155;0.71977;NULL;NULL;NULL;NULL;NULL;NULL;-0.19634;-0.42943;-0.00127;0.01324;-0.47771;0.34107;0.25632;-0.79781;0.69237;NULL;NULL;NULL;0.04507;-0.06879;0.14679;0.20303;-0.12979;0.4378;0.42645;-0.38422;0.76235
2022.07_16-08-2022;г. Санкт-Петербург;105_165_days;SputnikV;0.2123;0.11414;0.29958;0.45564;0.09339;0.67315;-0.65698;-2.76004;0.2698;NULL;NULL;NULL;-0.14201;-0.35221;0.03552;0.26305;-0.13424;0.52118;-0.02672;-1.06927;0.49057;0.0018;-2.13393;0.68206;0.12788;0.03948;0.20813;0.42189;0.19273;0.586;-0.00431;-0.74247;0.42114
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;AllVaccines;0.28352;0.2148;0.34623;0.42719;0.17102;0.60419;0.41723;-0.57707;0.78465;-0.917;-7.22997;0.55348;-0.00819;-0.13836;0.10709;0.35042;0.11661;0.52234;0.66809;0.25617;0.85189;NULL;NULL;NULL;0.20038;0.1397;0.25677;0.40434;0.24429;0.5305;0.6504;0.32398;0.81921
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;CoviVac;-0.8709;-2.9252;0.10826;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-7.59043;-25.64317;-1.76977;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-1.17438;-3.17961;-0.13119;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;EpiVacCorona;-0.05555;-1.34995;0.52587;-3.66006;-17.66019;-0.16377;NULL;NULL;NULL;-231.75792;-998.26536;-53.21608;-0.13752;-2.52802;0.63323;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.03818;-0.92357;0.51907;-0.93786;-6.7532;0.51564;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;SputnikLite;0.28246;0.18715;0.3666;0.39956;0.0158;0.63368;0.44743;-1.23357;0.8633;NULL;NULL;NULL;-0.05287;-0.22193;0.0928;0.30305;-0.01349;0.52073;0.73223;0.16579;0.91405;NULL;NULL;NULL;0.17424;0.09135;0.24957;0.33794;0.10471;0.51041;0.71833;0.24647;0.89471
2022.07_16-08-2022;г. Санкт-Петербург;165_195_days;SputnikV;0.2835;0.17983;0.37407;0.42642;0.00847;0.66819;0.01462;-2.09637;0.68641;NULL;NULL;NULL;0.06815;-0.14507;0.24167;0.35329;-0.07589;0.61126;0.37351;-0.67847;0.76616;NULL;NULL;NULL;0.23471;0.143;0.31661;0.45693;0.20629;0.62842;0.44175;-0.2488;0.75044
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;AllVaccines;-0.07212;-0.39073;0.1735;0.00548;-1.65527;0.62751;NULL;NULL;NULL;NULL;NULL;NULL;-0.04927;-0.55421;0.29162;0.4625;-0.66875;0.82687;NULL;NULL;NULL;NULL;NULL;NULL;-0.05215;-0.30878;0.15416;0.37331;-0.39642;0.71875;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;CoviVac;-0.94461;-3.67281;0.19074;-9.30297;-40.25597;-1.57299;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.736;-3.17131;0.27751;-4.59719;-21.39379;-0.39898;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;EpiVacCorona;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;SputnikLite;-0.0862;-0.77356;0.33477;-0.79683;-6.19502;0.55127;NULL;NULL;NULL;NULL;NULL;NULL;-0.88945;-2.96513;0.09964;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.18667;-0.80267;0.21883;0.13126;-2.47574;0.78286;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;21_45_days;SputnikV;-0.06326;-0.46195;0.2267;0.26071;-1.96032;0.81537;NULL;NULL;NULL;NULL;NULL;NULL;0.03661;-0.51153;0.38597;0.34994;-1.0182;0.79061;NULL;NULL;NULL;NULL;NULL;NULL;-0.01232;-0.31595;0.22126;0.41828;-0.55128;0.78186;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;AllVaccines;0.08321;-0.20699;0.30364;0.52553;-0.8999;0.88151;NULL;NULL;NULL;NULL;NULL;NULL;-0.17723;-0.63376;0.15173;0.16215;-0.8684;0.62428;NULL;NULL;NULL;NULL;NULL;NULL;-4e-05;-0.23601;0.19089;0.34537;-0.37474;0.68828;NULL;NULL;NULL
2022.07_16-08-2022;г. Санкт-Петербург;45_75_days;CoviVac;-0.00282;-2.10973;0.67661;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-13.08864;-42.69587;-3.54253;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.54065;-2.70189;0.35882;NULL;NULL;NULL;NULL;NULL;NULL
